"Day","Hour","Metro","scaled"
3,19,"Los Angeles",52.4
3,20,"Los Angeles",39.6
3,21,"Los Angeles",32.4
3,22,"Los Angeles",25
3,23,"Los Angeles",15.8
4,0,"Los Angeles",15.9
4,1,"Los Angeles",8.3
4,2,"Los Angeles",5
4,3,"Los Angeles",0.1
4,4,"Los Angeles",0
4,5,"Los Angeles",5.4
4,6,"Los Angeles",19.2
4,7,"Los Angeles",35.6
4,8,"Los Angeles",48.4
4,9,"Los Angeles",63.5
4,10,"Los Angeles",67.5
4,11,"Los Angeles",82.7
4,12,"Los Angeles",93.9
4,13,"Los Angeles",100
4,14,"Los Angeles",100
4,15,"Los Angeles",94.8
4,16,"Los Angeles",93
4,17,"Los Angeles",87.2
4,18,"Los Angeles",71.2
4,19,"Los Angeles",55.2
4,20,"Los Angeles",54.2
4,21,"Los Angeles",53.7
4,22,"Los Angeles",45.1
4,23,"Los Angeles",27.2
5,0,"Los Angeles",13.4
5,1,"Los Angeles",5.2
5,2,"Los Angeles",1.3
5,3,"Los Angeles",0
5,4,"Los Angeles",2
5,5,"Los Angeles",9.1
5,6,"Los Angeles",26.6
5,7,"Los Angeles",46.9
5,8,"Los Angeles",57.8
5,9,"Los Angeles",71.8
5,10,"Los Angeles",73.3
5,11,"Los Angeles",83.8
5,12,"Los Angeles",89.4
5,13,"Los Angeles",90.7
5,14,"Los Angeles",88.8
5,15,"Los Angeles",90.6
5,16,"Los Angeles",100
5,17,"Los Angeles",98.7
5,18,"Los Angeles",85.5
5,19,"Los Angeles",59
5,20,"Los Angeles",45.7
